,Unnamed: 0,product,desc,product_id
0,0,Strap top,solid jersey basic basic everyday woman shoulder top jersey strap narrow,1
1,1,Strap top (1),stripe jersey basic basic everyday woman shoulder top jersey strap narrow,2
2,2,OP T-shirt (Idro),solid clean lingerie woman lingerie visible microfibre back padded comfort good support without bra hookandeye cup fastening shoulder seam provide bust greater lightly moulded tshirt underwired shape strap narrow adjustable,3
3,3,20 den 1p Stockings,solid tights basic tigh sock nightwear woman wide nylon 20 shiny top suspender denier stocking reinforced use trim semi belt,4
4,4,Shape Up 30 den 1p Tights,solid tights basic tigh sock nightwear woman amber 30 light support builtin denier tights black 15 bottom lift,5
5,5,Support 40 den 1p Tights,solid tights basic tigh sock nightwear woman elasticated shiny calf encouraging circulation leg also waist thigh tights shape blood semi tummy,6
6,6,200 den 1p Tights,solid tights basic tigh sock nightwear woman matt denier tights opaque 200,7
7,7,SWEATSHIRT  OC,pattern basic baby complement essential baby pressstud 1824 shoulder month 1218 without organic cotton brushed soft one inside size sweatshirt,8
8,8,Alice BANDEAU 2-p,stripesolid casual lingerie woman lingerie top support jersey side two soft bandeau trim bra silicone,9
9,9,Frugan longsleeve,solid jersey basic basic everyday woman neckline wide long top fitted sleeve jersey soft stretch,10
10,10,Jerry jogger bottoms,melangesolid jersey basic men underwear elasticated pocket drawstring pocket waist back hem side brushed soft inside trouser ribbed fabric sweatshirt,11
11,11,Babette long,solidmelangepattern jersey mama legging wide waist organic cotton content jersey panel soft fit best tummy,12
12,12,Control Top 50 den 1p Tights,solid tights basic tigh sock nightwear woman shaping top denier tights thigh reinforcement 50 effect tummy,13
13,13,2p Claw,solidtransparentmetallic eq accessory special collectionshair accessory woman small cm width 35 hair plastic claw,14
14,14,Pirate Leggings (1),solidmelange jersey basic basic everyday woman elasticated legging waist jersey 34length stretch,15
15,15,Black Umbrella,solid item accessory woman small cover cm umbrella folded handle telescopic length matching 23,16
16,16,Velour pyjama,application3d baby nightwear complement essential baby velour appliqué leg front pressstuds foot along side one pyjama detail,17
17,17,Mama 100 den 1p Tights,solid tights basic tigh sock nightwear woman matt elasticated 100 waist space extra tights denier growing tummy,18
18,18,Dorian l/s basic,solidmelange men woven sport men hm sport overlocked optimum functional top seam polyester content comfort fastdrying sport breathable recycled longsleeved fabric,19
19,19,Tanktop body white 3PACK,solid basic baby complement essential baby pressstuds sleeveless organic cotton bodysuits jersey soft crotch,20
20,20,3P TANKTOP BODY,solid basic baby complement essential baby pressstuds sleeveless organic cotton bodysuits jersey soft crotch,21
21,21,Hair Ring,solid eq collection special accessory woman small ring metal shape inside hair open elastic clip,22
22,22,200 den 1p leggings,solid tights basic tigh sock nightwear woman matt elasticated legging waist denier opaque 200,23
23,23,6P SS BODY,pattern basic baby complement essential baby crotchshortsleeved shoulder pressstuds organic cotton bodysuits jersey lapped shortsleeved soft crotch,24
24,24,Nouvelle 1p Stay Up,solid tights basic tigh sock nightwear woman wide 20 shiny top stayups denier inside lace trim semi silicone,25
25,25,THOMPSON woven sport pants,solid men bottom sport men hm sport pocket drawstring pocket running hem fastdrying meshlined trouser fit concealed waist fabric detail key side zip breathable regular waistband functional elastication reflective,26
26,26,OP Strapless^,solid clean lingerie woman lingerie detachable microfibre back padded lift top support bra strapless hookandeye trim cup fastening shoulder side bust silicone underwired shape strap adjustable,27
27,27,Box 4p Socks,solid tights basic tigh sock nightwear woman 20 short shaft semimatte sock denier,28
28,28,Box 4p Kneehighs,solid tights basic tigh sock nightwear woman 20 four knee high denier pair,29
29,29,Box 4p Tights,solid tights basic tigh sock nightwear woman matt elasticated 20 waist denier tights,30
30,30,Slim Cheapo 79,denim kid boy denim kid boy pressstud elasticated denim jean leg waist adjustable slim 5pocket slimfit fly zip washed,31
31,31,Connor pants,solid men woven sport men hm sport tapered regular elasticated drawstring pocket leg waist fit polyester side fastdrying sport trouser made recycled fabric,32
32,32,Anton sport pant,solidpattern men woven sport men hm sport tapered regular elasticated drawstring pocket leg waist fit polyester side fastdrying sport trouser made recycled fabric,33
33,33,Highwaist 30 den 1p Tights,solid tights basic tigh sock nightwear woman bum 30 waist thigh tights shape denier lift highwaisted,34
34,34,3p Sneaker Socks,solidmelange sock shopbasket tigh sock nightwear woman keep shoe short fineknit sock back place hidden designed heel trim silicone,35
35,35,Sneaker 3p Socks,melange sock tigh sock nightwear woman keep shoe short fineknit sock back place hidden designed heel trim silicone,36
36,36,Sigge sneaker sock 5p,colour blockingpattern uw divided basic fineknit sock various trainer colour,37
37,37,KOMPIS 2-pack L/S,solidmelange girl jersey basic young basic underwear girl organic cotton soft top longsleeved,38
38,38,Scallop 5p Socks,solidmelangecontrastglitteringmetallic sock shopbasket tigh sock nightwear woman fineknit edge sock scalloped,39
39,39,FLEECE PYJAMA,patterndotstripe baby nightwear complement essential baby patterned leg cuff fleece fasten front along ribbing hem soft one allinone pyjama,40
40,40,Mr Harrington w/hood,solidmelange street jacket outerwear men pocket drawstring pocket flap padded inner one lining pressstud short hood hem jacket front side ribbing zip quilted collar standup cuff jerseylined,41
41,41,Sleep bag padded,pattern baby nightwear complement essential baby patterned designed padded jersey bag soft use sleep lightly indoor lining,42
42,42,2 Row Braided Headband (1),solid accessory hair accessory woman small braid imitation back hairband elastic suede twostrand,43
43,43,Long Leggings,solid jersey basic basic everyday woman jersey waist elasticated legging,44
44,44,Long Leggings (1),melange jersey basic basic everyday woman jersey waist elasticated legging,45
45,45,Control Top 100 den 1p Tights,solidmelange tights basic tigh sock nightwear woman matt bum 100 top denier tights control opaque hold tummy,46
46,46,Basic 2p Overknee,solidmelange sock tigh sock nightwear woman fineknit overtheknee sock,47
47,47,Austin basic leather hip belt,solid belt accessory big woman cm buckle metal width leather 25 belt,48
48,48,Eva chelsea boot,solid divided shoe accessory divided gore elasticated rubber chelsea sol boot side,49
49,49,Jenny 5-pack,solidmelangestripedot uw divided basic fineknit sock,50
50,50,Fleece 1 p tights,solid tights basic tigh sock nightwear woman elasticated fleece waist tights soft inside opaque,51
51,51,Bobby elastic waist belt,structure belt accessory big woman detail wide cm waist imitation metal leather width elastic fastener belt 65,52
52,52,FIFTY SHADES moulded halternec,pattern swimwear swimwear woman beachwear moulded bow tie bikini top front metal back underwired padded fastener cup lightly neck,53
53,53,FIFTY SHADES  tie brief,pattern swimwear swimwear woman beachwear wide tie bikini bottom waist mid fully lined side,54
54,54,Robin 3pk solid,melange jersey underwear men underwear trunk elasticated short leg seam waist front organic flatlock cotton jersey stretch lined,55
55,55,4p Claw,solidtransparent accessory hair accessory woman small cm width plastic hair 25 claw,56
56,56,10p Terry w.o. Clip,solid eq accessory special collectionshair accessory woman small elastic without metal clip hair,57
57,57,10p Basic Terry,solid accessory hair accessory woman small elastic clip metal hair,58
58,58,12p Claw,solid accessory hair accessory woman small claw plastic hair mini,59
59,59,Harem trousers,solidpattern jersey basic basic everyday woman waist hem jersey trouser harem elastication,60
60,60,Lena over knee.,solid uw divided basic fineknit overtheknee sock,61
61,61,Padded pyjama,pattern baby nightwear complement essential baby padding continue leg cuff pressstuds front cotton hem padded jersey ribbing soft one allinone polyester pyjama lightly,62
62,62,Spanx alot shape Swimsuit,solid swimwear swimwear woman beachwear shaping back panel padded fully side tummy wrapover top support swimsuit lined cup gather shoulder decorative lightly sculpting bum strap effect adjustable,63
63,63,SPANX ALOT swimsuit (1),solidstripepattern swimwear swimwear woman beachwear shaping back panel padded fully side tummy wrapover top support swimsuit lined cup gather shoulder decorative lightly sculpting bum strap effect adjustable,64
64,64,Spanx alot Swimsuit,solidstripepattern swimwear swimwear woman beachwear shaping back panel padded fully side tummy wrapover top support swimsuit lined cup gather shoulder decorative lightly sculpting bum strap effect adjustable,65
65,65,BASIC LS TURTLE NECK BODY,solid basic baby complement essential baby shoulder neck pressstuds organic cotton bodysuit jersey soft concealed one crotch ribbed polo longsleeved,66
66,66,Tina leggings,solid 1 basic divided basic elasticated legging waist sturdy extra jersey,67
67,67,Heavy jsy long leg,contrasttreatmentsolid 1 basic divided basic elasticated legging waist sturdy extra jersey,68
68,68,Jodi skirt,solid 1 basic divided basic wide short unlined waist bellshaped skirt jersey stretch elastication,69
69,69,Long Leg Leggings,solid 1 basic divided basic elasticated legging waist jersey stretch,70
70,70,Raven skirt,solidmelange 1 basic divided basic elasticated short waist skirt jersey,71
71,71,Carolina sweater (1),solidmelange 1 basic divided basic cuff top hem ribbing longsleeved fabric sweatshirt,72
72,72,Nora tee,melange jersey basic basic everyday woman fake pocket short top front sleeve hem slub sewnin jersey soft turnup rounded,73
73,73,Basic 5p Minishaftless,solid sock shopbasket tigh sock nightwear woman fineknit shaftless sock,74
74,74,Chris 3pk solid,solid jersey underwear men underwear longer elasticated slightly leg seam waist front organic flatlock cotton jersey boxer stretch lined,75
75,75,Knit dress,solid knitwear top d divided selected neckline dress short hood long fineknit unlined sleeve waterfall,76
76,76,Neo running beanie,solid men sport acc men hm sport lightweight functional running fabric doublelayered print fastdrying breathable hat reflective,77
77,77,Fleece leggings 1 p,solidmelange tights basic tigh sock nightwear woman legging fleece waist hem thermal soft inside opaque elastication,78
78,78,HONEY L/L Leggings,solidmelangestripe girl jersey basic young basic underwear girl elasticated legging waist organic cotton jersey soft,79
79,79,HELENA 2-pack tanktop,solid girl jersey basic young basic underwear girl organic cotton jersey soft top,80
80,80,BERTIL Basic 2-pack S/S SB,solid jersey kid basic boy boy basic underwear organic cotton tshirts jersey soft,81
81,81,METS 2-p basic shorttop,solid girl uwnw young basic underwear girl racer elasticated crop back hem cotton jersey soft top,82
82,82,METS 2-p shorttop,solid girl uwnw young basic underwear girl racer elasticated crop back hem cotton jersey soft top,83
83,83,Babette cropped,solid jersey mama elasticated legging waist organic cotton jersey 34length soft,84
84,84,Basic shorts,patternstripe basic baby complement essential baby elasticated drawstring tie waist organic short cotton jersey soft waistshorts elastication,85
85,85,40 den 2p Tights,solidmelange tights basic tigh sock nightwear woman elasticated waist denier tights 40,86
86,86,TORKEL Basic 2-pack tanktop SB,stripe jersey kid basic boy boy basic underwear organic cotton jersey soft top ribbed vest,87
87,87,TORKEL tanktop SB 2-p,stripemelange jersey kid basic boy boy basic underwear organic cotton jersey soft top ribbed vest,88
88,88,Heavy plain 2 p tights,solidmelange tights basic tigh sock nightwear woman fineknit tights waist elasticated,89
89,89,Rihanna dress,stripe jersey basic basic everyday woman dress elasticated pocket waist slub jersey side shortsleeved,90
90,90,Linni tee (1),solidstripemelange 1 basic divided basic top sleeve sewnin jersey shortsleeved turnup,91
91,91,Bryn Flanel Check,check shirt street contemporary regular chest shirt pocket checked fit flannel collar,92
92,92,Frode outdoor beanie,melangesolid men sport acc men hm sport fleece breathable thermal outdoor hat,93
93,93,PICKUP ARTIST top,solid swimwear swimwear woman beachwear wide wrapover tie bikini top front support back side lined neck,94
94,94,Janet SL (W),chambraystripesolid nightwear tigh sock nightwear woman pocket drawstring short cotton soft notch pyjama elasticated shirt short button waist chest buttoned front cuff weave longsleeved lapel,95
95,95,Janet SL-set (W),stripe nightwear tigh sock nightwear woman pocket drawstring short cotton soft notch pyjama elasticated shirt short button waist chest buttoned front cuff weave longsleeved lapel,96
96,96,Mimmi sneaker,solid divided shoe accessory divided loop rubber lacing back sol cotton insole lining closed fabric trainer,97
97,97,Alcazar strap dress,solidstripemelange 1 basic divided basic dress shoulder elasticated long unlined waist sleeveless jersey strap narrow seam,98
98,98,Dean Drawstring Trousers.,solid trouser street contemporary jogger elasticated drawstring pocket waist back cotton twill side hem loose fit washed,99
99,99,H-terry Basic 16-pack,solid accessory small accessory divided elastic colour metal clip hair solid,100
100,100,H-string Jersey,solid accessory small accessory divided elastic hair,101
101,101,30p pins,solid accessory hair accessory woman small cm metal length grip hair 5,102
102,102,Bob v-neck tee,solid jersey basic basic everyday woman short top fitted sleeve vneck jersey soft stretch,103
103,103,Coolio sunglasses,solid sunglass accessory woman small tinted frame uvprotective lens sunglass plastic,104
104,104,Classic Fancy pilot (1),solid sunglass accessory woman small tinted frame metal aviator lens uvprotective sunglass style,105
105,105,Pamela tee,solidmelange 1 basic divided basic chest pocket top jersey shortsleeved,106
106,106,Mama 40 den 2p Tights,solidmelange tights basic tigh sock nightwear woman space extra tights denier 40 growing tummy,107
107,107,Norling Knit,melange knitwear top d divided selected cardigan shawl long blend knit sleeve side zip one made bouclé wool collar,108
108,108,4p Elastic Headband (1),solid eq collection special accessory woman small elastic 06 cm metal width various clip hair colour,109
109,109,2P SS PYJAMA,patternfront print baby nightwear complement essential baby pressstud neckline around short leg organic sleeve cotton hem jersey ribbing fastening soft fastenersallinone pyjama,110
110,110,Polly 3p minishaftless,solid sock socksshopbasket tigh sock nightwear woman denier shaftless sock 80,111
111,111,Beyonce cropped tank,solidmelangestripepattern jersey basic basic everyday woman top slub jersey cropped vest,112
112,112,Paris glove.,solid gloveshats accessory big woman glove leather soft lined supple,113
113,113,Billy cargo pants,solid trouser contemporary casual pressstud oxford leg pocket drawstring knee seam cargo back cotton flap side hem trouser washed,114
114,114,Aguilera maxidress,solidstripepattern jersey basic basic everyday woman dress elasticated slit integral top waist maxi strapless jersey seam side elastication,115
115,115,Cool Olja round,solid sunglass accessory woman small tinted frame sidepieces metal uvprotective lens sunglass plastic,116
116,116,Olja sunglasses,solid sunglass accessory woman small tinted frame sidepieces metal uvprotective lens sunglass plastic,117
117,117,Pinocchio hat,solidmelange gloveshats accessory big woman pompom faux cableknit fur hat,118
118,118,New Carrie Glove,solidmelange gloveshats accessory big woman trim glove fineknit blend imitation leather wool,119
119,119,DERRIDA windstopper tights,solid men bottom sport men hm sport pocket drawstring running back hem brushed mesh fastdrying zipped concealed knee waist fabric detail leg section key breathable zip winter functional windproof tights elastication thermal inside reflective,120
120,120,Flora hip belt (1),solidglitteringmetallic belt accessory big woman cm buckle imitation metal leather width 2 grained narrow belt,121
121,121,Flora hip belt,solid belt accessory big woman cm buckle imitation metal leather width 2 grained narrow belt,122
122,122,Gauss windproof zip top,solid men bottom sport men hm sport running back thumbhole brushed mesh small fit side tight hem ventilating fabric jacket detail shoulder longer front section rounded zip collar standup cuff functional slightly windproof thermal inside reflective,123
